pop,FGM,clit,exc,inf,MGM,sup,cir,dist,ext_aff,trans_resid,desc,sub_econ,agric_inten,marr_tr,sex_norms,ext_war,class,segr_adol,juris_hier,caste,scars_m,scars_f,islam
Nama_Hottentot,0,0,0,0,1,0,0,3,2,1,1,4,1,4,4,17,1,2,1,1,2,1,0
Kung_Bushmen,0,0,0,0,0,0,0,2,NA,2,6,1,1,2,1,1,0,2,0,1,2,2,0
Thonga,1,1,0,0,1,0,1,5,2,1,1,6,3,1,6,0,3,3,2,1,2,1,0
Lozi,0,0,0,0,0,0,0,5,NA,1,5,7,5,3,NA,7,3,NA,3,1,1,2,0
Mbundu,1,1,0,0,1,0,1,5,2,1,2,6,3,1,NA,17,3,2,2,1,2,3,0
Suku,0,0,0,0,1,0,1,5,NA,1,3,6,3,1,NA,12,3,2,3,1,1,1,0
Bemba,0,0,0,0,0,0,0,3,1,2,7,6,3,2,1,17,3,3,2,1,2,2,0
Nyakyusa,0,0,0,0,0,0,0,5,NA,2,7,7,5,1,1,1,0,5,2,1,1,1,0
Hadza,0,0,0,0,0,0,0,4,NA,2,6,1,1,1,NA,88,0,NA,0,1,2,1,0
Luguru,1,0,1,0,1,0,1,5,NA,3,3,6,3,1,6,3,0,NA,0,2,NA,NA,0
Kikuyu,1,1,1,0,1,1,0,5,3,1,1,7,5,1,NA,7,1,5,0,1,1,1,0
Ganda,0,0,0,0,0,0,0,5,NA,2,1,7,5,1,3,17,3,2,3,1,1,1,0
Mbuti,0,0,0,0,1,0,1,4,1,2,6,3,1,5,6,0,0,4,0,1,2,2,0
Nkundo_Mongo,1,0,1,0,1,0,1,3,NA,1,2,6,3,1,6,0,0,2,2,3,2,2,0
Banen,0,0,0,0,1,0,1,5,NA,1,1,6,3,5,NA,0,0,NA,0,1,0,0,0
Tiv,0,0,0,0,1,0,1,5,NA,1,7,6,3,5,4,13,0,1,1,1,2,2,0
