pop,lat,long,FGC,clit,exc,inf,MGC,cir,sup,sex_norms,male_segr,class,caste,high_gods,dist,patriloc,patrilin,past,ext_agric,int_agric,bride_pr,chiefdoms,states
Nama,-26.5,17.1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0
Kung,-19.5,18.3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Tsonga,-25.4,32.8,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0
Lozi,-17.47,24.3,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1
Umbundu,-12.5,16.3,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0
Suku,-6.1,18.1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1
Bemba,-9.8,29.08,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0
Nyakyusa,-9.3,34.7,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0
Hadza,-3.9,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Luguru,-6.8,37,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
Kikuyu,-0.5,37.45,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0
Ganda,0,32.4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1
Efe_Pygmy,2.1,28,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mongo_Nkundo,-1.9,18.1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0
Tunen,4.4,10,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0
Tiv,6.47,7.55,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
Igbo,4.85,7.02,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0
