pop,lat,long,FGM,clit,exc,inf,MGM,sup,cir,dist,ext_aff,sex_norms,ext_war,class,segr_adol,caste,scars_m,scars_f,islam,patriloc,patrilin,forag,past,ext_agric,int_agric,bride_pr,chiefdoms,states
Nama_Hottentot,-26.5,17.1,0,0,0,0,1,0,0,3,2,0,5,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0
Kung_Bushmen,-19.5,18.3,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Thonga,-25.4,32.8,1,1,0,0,1,0,1,4,2,0,5,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0
Lozi,-17.47,24.3,0,0,0,0,0,0,0,4,3,1,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
Mbundu,-12.5,16.3,1,1,0,0,1,0,1,4,2,0,5,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0
Suku,-6.1,18.1,0,0,0,0,1,0,1,4,2,1,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
Bemba,-9.8,29.08,0,0,0,0,0,0,0,3,3,1,5,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0
Nyakyusa,-9.3,34.7,0,0,0,0,0,0,0,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
Hadza,-3.9,35.6,0,0,0,0,0,0,0,3,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
Luguru,-6.8,37,1,0,1,0,1,0,1,4,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0
Kikuyu,-0.5,37.45,1,1,1,0,1,1,0,4,1,0,2,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0
Ganda,0,32.4,0,0,0,0,0,0,0,4,3,1,5,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1
Mbuti,2.1,28,0,0,0,0,1,0,1,3,3,0,5,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
Nkundo_Mongo,-1.9,18.1,1,0,1,0,1,0,1,3,2,0,4,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0
Banen,4.4,10,0,0,0,0,1,0,1,4,2,1,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Tiv,6.47,7.55,0,0,0,0,1,0,1,4,2,0,4,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0
Ibo,4.85,7.02,1,0,1,0,1,0,1,4,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0
Fon,7.1,1.9,0,0,0,0,1,0,0,4,2,1,5,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1
Ashanti,6.72,-1.6,0,0,0,0,0,0,0,4,2,1,2,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0
Mende,7.53,-12.5,1,0,1,0,1,0,1,4,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0
Wolof,13.53,-14.77,0,0,0,0,1,0,1,4,2,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0
Bambara,12.9,-7.3,1,1,1,1,1,0,1,4,3,1,4,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0
Tallensi,10.5,-0.4,0,0,0,0,0,0,0,4,3,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0
